rank,prev_rank,name,league,off,def,spi
319,317,Tijuana,Mexican Primera Division Torneo Apertura,1.25,1.52,39.75
320,319,Konyaspor,Turkish Turkcell Super Lig,1.08,1.31,39.69
321,320,Kasimpasa,Turkish Turkcell Super Lig,1.4,1.7,39.64
322,321,Caykur Rizespor,Turkish Turkcell Super Lig,1.23,1.5,39.51
323,322,Desportivo Aves,Portuguese Liga,1.12,1.38,39.45
324,323,Chapecoense AF,Brasileiro Série A,1.05,1.3,39.37
325,324,Charlton Athletic,English League Championship,1.18,1.46,39.25
326,326,Servette,Swiss Raiffeisen Super League,1.19,1.47,39.15
327,327,Aberdeen,Scottish Premiership,1.2,1.49,39.13
328,328,FC Zurich,Swiss Raiffeisen Super League,1.2,1.51,38.77
329,329,Wuhan Zall,Chinese Super League,1.24,1.56,38.69
330,330,Henan Jianye,Chinese Super League,1.21,1.53,38.6
331,331,FC Twente,Dutch Eredivisie,1.35,1.7,38.56
332,332,Minnesota United FC,Major League Soccer,1.25,1.58,38.54
333,333,Puebla,Mexican Primera Division Torneo Apertura,1.14,1.45,38.48
334,334,Dalian Aerbin,Chinese Super League,1.28,1.63,38.37
335,335,Huracán,Argentina Primera Division,0.92,1.18,38.27
336,337,FC Sion,Swiss Raiffeisen Super League,1.3,1.66,38.08
337,338,Belenenses,Portuguese Liga,1.06,1.37,38.06
338,340,Luton Town,English League Championship,1.18,1.52,37.95
339,341,Hannover 96,German 2. Bundesliga,1.23,1.59,37.94
340,342,Bodo/Glimt,Norwegian Tippeligaen,1.42,1.82,37.86
341,343,Panathinaikos,Greek Super League,1.06,1.37,37.85
342,344,Perth Glory,Australian A-League,1.22,1.59,37.71
343,345,Maritimo,Portuguese Liga,1.06,1.39,37.61
344,346,New England Revolution,Major League Soccer,1.36,1.76,37.58
345,347,Toluca,Mexican Primera Division Torneo Apertura,1.09,1.43,37.55
346,339,SD Huesca,Spanish Segunda Division,1.02,1.35,37.5
347,348,Sporting Kansas City,Major League Soccer,1.37,1.78,37.38
348,349,Columbus Crew,Major League Soccer,1.12,1.47,37.36
349,350,Hebei China Fortune FC,Chinese Super League,1.27,1.67,37.25
350,336,CSA,Brasileiro Série A,1.04,1.39,37.19
351,351,Atlas,Mexican Primera Division Torneo Apertura,1.07,1.42,37.14
352,352,Willem II,Dutch Eredivisie,1.35,1.77,37.12
353,353,Real Salt Lake,Major League Soccer,1.01,1.36,36.98
354,355,Colorado Rapids,Major League Soccer,1.36,1.79,36.83
355,356,Patronato,Argentina Primera Division,1.04,1.41,36.75
356,357,1. FC Heidenheim 1846,German 2. Bundesliga,1.13,1.53,36.56
357,359,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.19,1.62,36.34
358,360,Asteras Tripolis,Greek Super League,0.96,1.33,36.29
359,361,Chongqing Lifan,Chinese Super League,1.13,1.55,36.2
360,362,Holstein Kiel,German 2. Bundesliga,1.2,1.64,36.09
361,363,IFK Goteborg,Swedish Allsvenskan,1.1,1.52,36.01
362,364,1. FC Nürnberg,German 2. Bundesliga,1.21,1.66,36.01
363,365,Gamba Osaka,Japanese J League,1.18,1.62,35.94
364,366,Barnsley,English League Championship,1.17,1.62,35.71
365,358,Málaga,Spanish Segunda Division,0.81,1.16,35.7
366,367,F91 Dudelange,UEFA Europa League,1.43,1.96,35.54
367,368,Mamelodi Sundowns,South African ABSA Premier League,1.0,1.43,35.35
368,369,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.27,1.77,35.34
369,370,Colon Santa Fe,Argentina Primera Division,0.95,1.36,35.33
370,371,Sporting Gijón,Spanish Segunda Division,0.91,1.31,35.32
371,354,Melbourne City,Australian A-League,1.2,1.69,35.12
372,373,Oxford United,English League One,1.22,1.72,35.1
373,374,DC United,Major League Soccer,1.14,1.62,35.05
374,375,Sunderland,English League One,1.1,1.57,34.99
375,376,Houston Dynamo,Major League Soccer,1.23,1.74,34.92
376,377,Kaizer Chiefs,South African ABSA Premier League,0.93,1.36,34.78
377,378,Caen,French Ligue 2,1.03,1.5,34.73
378,379,Vissel Kobe,Japanese J League,1.47,2.05,34.71
379,380,PEC Zwolle,Dutch Eredivisie,1.36,1.91,34.66
380,381,Genclerbirligi,Turkish Turkcell Super Lig,1.1,1.58,34.63
381,382,Crotone,Italy Serie B,1.07,1.55,34.57
382,391,Avaí,Brasileiro Série A,0.92,1.37,34.49
383,383,Jahn Regensburg,German 2. Bundesliga,1.29,1.84,34.45
384,384,Ipswich Town,English League One,1.03,1.51,34.43
385,399,Fuenlabrada,Spanish Segunda Division,1.0,1.49,34.21
386,410,Real Monarchs SLC,United Soccer League,1.46,2.08,34.09
387,385,Larissa,Greek Super League,0.93,1.4,34.08
388,386,Neuchatel Xamax,Swiss Raiffeisen Super League,1.16,1.7,34.07
389,387,Shenzhen FC,Chinese Super League,1.11,1.64,34.03
390,388,Chievo Verona,Italy Serie B,1.05,1.56,33.84
391,372,Real Zaragoza,Spanish Segunda Division,1.01,1.51,33.83
392,389,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.01,1.51,33.8
393,390,Consadole Sapporo,Japanese J League,1.16,1.72,33.73
394,392,Orlando City SC,Major League Soccer,1.22,1.79,33.65
395,393,Empoli,Italy Serie B,1.07,1.62,33.51
396,394,Guangzhou RF,Chinese Super League,1.48,2.14,33.41
397,395,VfL Bochum,German 2. Bundesliga,1.2,1.79,33.32
398,397,SV Sandhausen,German 2. Bundesliga,1.06,1.61,33.25
399,398,Bidvest Wits,South African ABSA Premier League,1.0,1.54,33.22
400,400,FC Juárez,Mexican Primera Division Torneo Apertura,0.98,1.51,33.13
401,401,Kristiansund BK,Norwegian Tippeligaen,1.16,1.75,33.07
402,406,Numancia,Spanish Segunda Division,0.84,1.33,32.91
403,403,SD Ponferradina,Spanish Segunda Division,0.99,1.54,32.9
404,404,Tianjin Quanujian,Chinese Super League,1.12,1.72,32.82
405,402,Elche,Spanish Segunda Division,0.97,1.51,32.79
406,405,Benevento,Italy Serie B,0.91,1.44,32.64
407,407,Sochaux,French Ligue 2,0.8,1.3,32.53
408,408,Le Havre,French Ligue 2,0.99,1.56,32.4
409,409,Emmen,Dutch Eredivisie,1.2,1.84,32.27
410,411,Karlsruher SC,German 2. Bundesliga,1.16,1.8,32.17
411,412,Frosinone,Italy Serie B,0.97,1.55,32.1
412,413,Denizlispor,Turkish Turkcell Super Lig,0.91,1.48,31.99
413,414,Pittsburgh Riverhounds,United Soccer League,0.97,1.56,31.99
414,415,Nashville SC,United Soccer League,0.94,1.52,31.95
415,416,Orlando Pirates,South African ABSA Premier League,0.96,1.55,31.93
416,417,Thun,Swiss Raiffeisen Super League,1.16,1.82,31.89
417,418,Montreal Impact,Major League Soccer,1.11,1.76,31.83
418,419,Ankaragucu,Turkish Turkcell Super Lig,0.96,1.56,31.73
419,396,Louisville City FC,United Soccer League,1.17,1.84,31.7
420,420,FC St. Pauli,German 2. Bundesliga,1.04,1.68,31.64
421,421,Kilmarnock,Scottish Premiership,0.84,1.41,31.6
422,422,Haugesund,Norwegian Tippeligaen,1.01,1.64,31.59
423,423,Lamia,Greek Super League,0.84,1.41,31.5
424,424,Antalyaspor,Turkish Turkcell Super Lig,1.07,1.72,31.45
425,425,Esbjerg,Danish SAS-Ligaen,0.98,1.61,31.37
426,426,Auxerre,French Ligue 2,0.84,1.42,31.34
427,427,Godoy Cruz,Argentina Primera Division,0.98,1.62,31.3
428,429,Sonderjyske,Danish SAS-Ligaen,1.06,1.71,31.27
429,449,Albacete,Spanish Segunda Division,0.74,1.29,31.06
430,431,Kayserispor,Turkish Turkcell Super Lig,1.04,1.72,30.97
431,432,SK Brann,Norwegian Tippeligaen,0.79,1.37,30.96
432,433,Viking FK,Norwegian Tippeligaen,1.12,1.81,30.94
433,434,Aldosivi,Argentina Primera Division,0.84,1.44,30.88
434,435,Eupen,Belgian Jupiler League,0.99,1.66,30.78
435,436,Odd BK,Norwegian Tippeligaen,1.04,1.72,30.77
436,437,Peterborough United,English League One,1.22,1.97,30.76
437,428,Las Palmas,Spanish Segunda Division,0.91,1.55,30.71
438,438,Waasland-Beveren,Belgian Jupiler League,1.08,1.77,30.67
439,430,Real Oviedo,Spanish Segunda Division,0.93,1.58,30.64
440,457,Adelaide United,Australian A-League,1.06,1.75,30.6
441,439,SV Mattersburg,Austrian T-Mobile Bundesliga,1.19,1.94,30.58
442,440,Motherwell,Scottish Premiership,1.07,1.78,30.49
443,441,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.21,1.96,30.49
444,444,Tenerife,Spanish Segunda Division,0.87,1.51,30.31
445,442,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,0.98,1.67,30.3
446,456,AD Alcorcon,Spanish Segunda Division,0.82,1.44,30.19
447,445,IF Elfsborg,Swedish Allsvenskan,1.07,1.8,30.15
448,447,Clermont Foot,French Ligue 2,0.86,1.5,30.11
449,448,Nagoya Grampus Eight,Japanese J League,1.13,1.88,30.04
450,450,KV Oostende,Belgian Jupiler League,1.01,1.73,29.94
451,451,Vegalta Sendai,Japanese J League,0.93,1.62,29.86
452,452,Hibernian,Scottish Premiership,1.02,1.75,29.79
453,453,SV Darmstadt 98,German 2. Bundesliga,0.93,1.63,29.74
454,454,Stabaek,Norwegian Tippeligaen,0.89,1.58,29.68
455,443,Melbourne Victory,Australian A-League,1.07,1.84,29.51
456,458,Hobro IK,Danish SAS-Ligaen,0.92,1.63,29.49
457,459,AS Nancy Lorraine,French Ligue 2,0.8,1.46,29.44
458,460,VfL Osnabruck,German 2. Bundesliga,0.89,1.59,29.42
459,455,Western United,Australian A-League,0.97,1.72,29.27
460,461,FC Xanthi,Greek Super League,0.78,1.44,29.15
461,462,RKC,Dutch Eredivisie,1.16,1.98,29.1
462,467,Racing Santander,Spanish Segunda Division,0.87,1.58,29.0
463,463,Fortuna Sittard,Dutch Eredivisie,1.25,2.13,28.85
464,464,SpVgg Greuther Fürth,German 2. Bundesliga,0.95,1.71,28.85
465,466,AC Ajaccio,French Ligue 2,0.69,1.34,28.82
466,465,Rotherham United,English League One,0.9,1.64,28.78
467,446,Deportivo La Coruña,Spanish Segunda Division,0.86,1.58,28.77
468,481,Extremadura UD,Spanish Segunda Division,0.76,1.44,28.74
469,468,Tampa Bay Rowdies,United Soccer League,1.0,1.79,28.71
470,473,Newcastle Jets,Australian A-League,1.07,1.88,28.67
471,469,Lyngby,Danish SAS-Ligaen,1.02,1.82,28.65
472,470,Hearts,Scottish Premiership,0.93,1.69,28.56
473,471,Dynamo Dresden,German 2. Bundesliga,0.93,1.71,28.39
474,472,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.08,1.92,28.38
475,474,Oita Trinita,Japanese J League,0.73,1.43,28.14
476,475,Grenoble,French Ligue 2,0.75,1.46,28.14
477,476,Urawa Red Diamonds,Japanese J League,0.92,1.72,27.95
478,477,Reno 1868 FC,United Soccer League,1.14,2.04,27.93
479,478,Volos NFC,Greek Super League,0.94,1.76,27.82
480,486,Mirandes,Spanish Segunda Division,0.92,1.74,27.63
481,480,Erzgebirge Aue,German 2. Bundesliga,0.96,1.8,27.6
482,482,Perugia,Italy Serie B,0.86,1.66,27.43
483,479,Lugo,Spanish Segunda Division,0.81,1.59,27.41
484,483,Black Aces,South African ABSA Premier League,1.02,1.9,27.37
485,484,Cittadella,Italy Serie B,0.8,1.58,27.21
486,485,Valerenga,Norwegian Tippeligaen,0.93,1.78,27.1
487,487,Doncaster Rovers,English League One,0.94,1.82,26.71
488,488,Portsmouth,English League One,0.86,1.72,26.45
489,489,Paris FC,French Ligue 2,0.63,1.38,26.23
490,490,Sagan Tosu,Japanese J League,0.87,1.75,26.19
491,491,Silkeborg,Danish SAS-Ligaen,1.1,2.08,26.14
492,492,Burton Albion,English League One,0.86,1.74,26.11
493,493,Guizhou Renhe,Chinese Super League,0.95,1.87,26.08
494,494,VVV Venlo,Dutch Eredivisie,1.15,2.16,26.06
495,495,US Pescara,Italy Serie B,0.87,1.76,25.98
496,496,Panetolikos,Greek Super League,0.84,1.73,25.85
497,497,Rodez,French Ligue 2,0.84,1.73,25.85
498,498,Spezia,Italy Serie B,0.8,1.67,25.79
499,499,Shimizu S-Pulse,Japanese J League,1.09,2.1,25.7
500,500,St. Pölten,Austrian T-Mobile Bundesliga,0.95,1.9,25.67
501,501,Wellington Phoenix,Australian A-League,1.08,2.12,25.35
502,502,Cercle Brugge,Belgian Jupiler League,1.02,2.03,25.34
503,503,Livingston,Scottish Premiership,0.87,1.82,25.22
504,504,SV Wehen Wiesbaden,German 2. Bundesliga,0.87,1.82,25.11
505,505,New York Red Bulls II,United Soccer League,1.2,2.31,25.01
506,506,Fleetwood Town,English League One,0.88,1.84,24.95
507,507,Chateauroux,French Ligue 2,0.61,1.42,24.85
508,508,Veracruz,Mexican Primera Division Torneo Apertura,0.87,1.83,24.84
509,509,Panionios,Greek Super League,0.77,1.68,24.81
510,510,Orléans,French Ligue 2,0.79,1.74,24.4
511,511,GIF Sundsvall,Swedish Allsvenskan,0.88,1.88,24.39
512,512,Valenciennes,French Ligue 2,0.7,1.6,24.28
513,513,SuperSport United,South African ABSA Premier League,0.68,1.59,24.09
514,514,Western Sydney FC,Australian A-League,0.94,1.99,24.09
515,515,Vancouver Whitecaps,Major League Soccer,0.93,1.98,24.08
516,516,AC Horsens,Danish SAS-Ligaen,0.77,1.74,24.02
517,525,Wycombe Wanderers,English League One,0.74,1.71,23.78
518,517,Bloem Celtic,South African ABSA Premier League,0.77,1.75,23.72
519,518,North Carolina FC,United Soccer League,0.96,2.08,23.23
520,519,Orebro SK,Swedish Allsvenskan,0.95,2.07,23.22
521,520,Sarpsborg,Norwegian Tippeligaen,0.77,1.79,23.13
522,521,Orange County SC,United Soccer League,0.9,2.0,23.11
523,522,Indy Eleven,United Soccer League,0.64,1.61,22.77
524,523,Cosenza,Italy Serie B,0.67,1.65,22.74
525,524,Le Mans,French Ligue 2,0.77,1.82,22.71
526,526,Cremonese,Italy Serie B,0.66,1.65,22.63
527,527,Niort,French Ligue 2,0.62,1.58,22.54
528,533,Blackpool,English League One,0.72,1.76,22.53
529,528,Tromso,Norwegian Tippeligaen,1.02,2.25,22.12
530,529,IK Sirius,Swedish Allsvenskan,0.84,1.98,22.06
531,530,Salernitana,Italy Serie B,0.68,1.73,22.01
532,531,Highlands Park FC,South African ABSA Premier League,0.64,1.65,22.0
533,554,Brisbane Roar,Australian A-League,0.95,2.17,21.79
534,535,Coventry City,English League One,0.7,1.78,21.64
535,532,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
536,534,San Antonio FC,United Soccer League,1.07,2.38,21.61
537,536,Livorno,Italy Serie B,0.71,1.81,21.4
538,537,Ascoli,Italy Serie B,0.69,1.8,21.19
539,538,Pordenone Calcio,Italy Serie B,0.75,1.9,21.19
540,539,Stromsgodset,Norwegian Tippeligaen,0.9,2.14,21.19
541,540,Virtus Entella,Italy Serie B,0.66,1.76,21.04
542,541,Ross County,Scottish Premiership,0.82,2.02,21.01
543,542,Östersunds FK,Swedish Allsvenskan,0.8,2.0,20.9
544,543,Mjondalen,Norwegian Tippeligaen,0.81,2.01,20.85
545,544,Shonan Bellmare,Japanese J League,0.84,2.09,20.6
546,545,Lillestrom,Norwegian Tippeligaen,0.77,1.99,20.32
547,546,Sacramento Republic FC,United Soccer League,0.75,1.96,20.27
548,547,Bradford City,English League Two,0.72,1.91,20.23
549,548,LA Galaxy II,United Soccer League,0.97,2.34,20.0
550,549,F.B.C Unione Venezia,Italy Serie B,0.64,1.8,19.89
551,550,Austin Bold FC,United Soccer League,0.78,2.05,19.79
552,551,Fresno FC,United Soccer League,0.86,2.18,19.74
553,552,Maritzburg Utd,South African ABSA Premier League,0.48,1.52,19.74
554,553,El Paso Locomotive FC,United Soccer League,0.6,1.76,19.57
555,555,Helsingborgs IF,Swedish Allsvenskan,0.67,1.9,19.47
556,556,Jubilo Iwata,Japanese J League,0.56,1.71,19.17
557,557,Pisa,Italy Serie B,0.67,1.92,18.97
558,558,St Mirren,Scottish Premiership,0.62,1.85,18.77
559,563,Gillingham,English League One,0.62,1.86,18.73
560,559,Matsumoto Yamaga FC,Japanese J League,0.41,1.47,18.72
561,560,Golden Arrows,South African ABSA Premier League,0.55,1.74,18.64
562,561,Chambly Thelle FC,French Ligue 2,0.54,1.72,18.62
563,562,Ranheim,Norwegian Tippeligaen,0.8,2.19,18.51
564,565,Bristol Rovers,English League One,0.59,1.82,18.41
565,566,St Johnstone,Scottish Premiership,0.67,1.99,18.25
566,567,Polokwane City FC,South African ABSA Premier League,0.58,1.84,17.95
567,568,New Mexico United,United Soccer League,0.82,2.29,17.79
568,564,Lincoln City,English League One,0.58,1.86,17.74
569,569,Juve Stabia,Italy Serie B,0.61,1.93,17.65
570,573,Swindon Town,English League Two,0.68,2.07,17.47
571,571,Hamilton Academical,Scottish Premiership,0.7,2.14,17.09
572,572,Charleston Battery,United Soccer League,0.59,1.94,16.89
573,575,Trapani,Italy Serie B,0.61,2.01,16.61
574,576,Shrewsbury Town,English League One,0.42,1.67,16.46
575,583,Scunthorpe,English League Two,0.64,2.07,16.45
576,570,Milton Keynes Dons,English League One,0.57,1.97,16.37
577,574,Cheltenham Town,English League Two,0.62,2.06,16.33
578,578,Portland Timbers 2,United Soccer League,0.99,2.7,16.3
579,579,Loudoun United FC,United Soccer League,0.95,2.65,16.21
580,580,Ottawa Fury FC,United Soccer League,0.59,2.01,16.19
581,577,Central Coast Mariners,Australian A-League,0.75,2.35,15.76
582,582,AmaZulu,South African ABSA Premier League,0.46,1.8,15.74
583,585,Black Leopards,South African ABSA Premier League,0.49,1.92,15.11
584,581,Tranmere Rovers,English League One,0.61,2.18,14.85
585,602,Northampton Town,English League Two,0.59,2.15,14.77
586,588,Baroka FC,South African ABSA Premier League,0.35,1.66,14.61
587,590,Chippa United,South African ABSA Premier League,0.34,1.65,14.5
588,596,Plymouth Argyle,English League Two,0.54,2.08,14.48
589,591,Charlotte Independence,United Soccer League,0.6,2.19,14.44
590,593,Kalmar FF,Swedish Allsvenskan,0.47,1.95,14.35
591,587,Accrington Stanley,English League One,0.49,1.99,14.33
592,594,Vasby United,Swedish Allsvenskan,0.49,1.99,14.3
593,589,Mansfield Town,English League Two,0.58,2.17,14.18
594,586,AFC Wimbledon,English League One,0.51,2.04,14.15
595,584,Forest Green Rovers,English League Two,0.4,1.82,14.05
596,595,Saint Louis FC,United Soccer League,0.45,1.94,13.98
597,592,Exeter City,English League Two,0.48,2.01,13.84
598,597,Oklahoma City Energy FC,United Soccer League,0.58,2.22,13.81
599,598,Rio Grande Valley FC Toros,United Soccer League,0.58,2.22,13.81
600,600,Falkenbergs FF,Swedish Allsvenskan,0.57,2.24,13.42
601,601,Colchester United,English League Two,0.45,2.03,13.09
602,599,Crewe Alexandra,English League Two,0.55,2.29,12.64
603,603,Rochdale,English League One,0.51,2.2,12.64
604,604,Las Vegas Lights FC,United Soccer League,0.57,2.39,12.05
605,605,Salford City,English League Two,0.52,2.28,11.98
606,606,Bolton,English League One,0.46,2.18,11.87
607,607,Hartford Athletic,United Soccer League,0.78,2.88,11.42
608,608,Stellenbosch FC,South African ABSA Premier League,0.33,1.94,11.33
609,609,Oldham Athletic,English League Two,0.47,2.27,11.24
610,610,Swope Park Rangers,United Soccer League,0.68,2.87,9.98
611,611,Birmingham Legion FC,United Soccer League,0.39,2.26,9.95
612,612,Southend United,English League One,0.58,2.7,9.79
613,613,Bethlehem Steel FC,United Soccer League,0.71,2.98,9.62
614,615,Newport County,English League Two,0.21,1.89,9.2
615,616,Atlanta United 2,United Soccer League,0.62,2.88,9.09
616,617,Tacoma Defiance,United Soccer League,0.57,2.78,9.08
617,618,Memphis 901 FC,United Soccer League,0.32,2.23,8.92
618,620,Tulsa Roughnecks,United Soccer League,0.47,2.63,8.56
619,614,Leyton Orient,English League Two,0.38,2.43,8.51
620,621,Grimsby Town,English League Two,0.28,2.21,8.32
621,619,Cambridge United,English League Two,0.25,2.13,8.32
622,622,Crawley Town,English League Two,0.38,2.52,7.96
623,623,Carlisle United,English League Two,0.34,2.45,7.7
624,625,Port Vale,English League Two,0.23,2.18,7.65
625,624,Stevenage,English League Two,0.2,2.11,7.52
626,627,Macclesfield,English League Two,0.2,2.26,6.58
627,626,Walsall,English League Two,0.2,2.29,6.42
628,628,Morecambe,English League Two,0.2,2.4,5.84
629,629,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.45,5.6
